# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
1001,SK Flensburg,Schleswig-Holstein,90164,1798,69.87,35,1789,69.87,35
1002,SK Kiel,Schleswig-Holstein,246794,3627,31.20,86,3627,35.66,86
1003,SK Lübeck,Schleswig-Holstein,216530,4461,34.18,89,4460,41.10,89
1004,SK Neumünster,Schleswig-Holstein,80196,1243,68.58,23,1233,51.12,21
1051,LK Dithmarschen,Schleswig-Holstein,133193,1384,27.78,41,1376,24.03,40
1053,LK Herzogtum Lauenburg,Schleswig-Holstein,198019,3399,60.60,99,3400,80.80,99
1054,LK Nordfriesland,Schleswig-Holstein,165951,2183,33.14,71,2177,31.94,71
1055,LK Ostholstein,Schleswig-Holstein,200539,2311,28.92,74,2310,33.91,74
1056,LK Pinneberg,Schleswig-Holstein,316103,7822,57.58,318,7808,65.17,318
1057,LK Plön,Schleswig-Holstein,128686,945,16.32,26,946,22.54,26
1058,LK Rendsburg-Eckernförde,Schleswig-Holstein,274098,2883,32.11,44,2859,30.65,44
1059,LK Schleswig-Flensburg,Schleswig-Holstein,201156,2256,49.71,52,2224,47.72,51
1060,LK Segeberg,Schleswig-Holstein,277175,4750,95.25,133,4675,87.31,131
1061,LK Steinburg,Schleswig-Holstein,131013,1495,41.22,28,1455,38.93,27
1062,LK Stormarn,Schleswig-Holstein,244156,5112,67.58,274,5087,74.54,272
2000,SK Hamburg,Hamburg,1847253,55484,93.44,1332,55266,82.93,1332
3101,SK Braunschweig,Niedersachsen,249406,4141,66.16,136,4134,66.56,132
3102,SK Salzgitter,Niedersachsen,104291,2950,209.03,56,2929,188.89,55
3103,SK Wolfsburg,Niedersachsen,124371,2188,53.07,72,2172,41.81,70
3151,LK Gifhorn,Niedersachsen,176523,3907,54.38,164,3907,52.12,164
3153,LK Goslar,Niedersachsen,136292,1780,22.01,119,1776,22.01,99
3154,LK Helmstedt,Niedersachsen,91297,1676,53.67,80,1660,40.53,79
3155,LK Northeim,Niedersachsen,132285,1611,30.24,36,1600,27.97,33
3157,LK Peine,Niedersachsen,134801,3595,143.17,88,3573,162.46,88
3158,LK Wolfenbüttel,Niedersachsen,119622,1822,39.29,82,1820,43.47,82
3159,LK Göttingen,Niedersachsen,326041,5758,38.34,209,5611,33.43,208
3241,Region Hannover,Niedersachsen,1157115,34421,118.23,869,34243,118.74,847
3251,LK Diepholz,Niedersachsen,217089,4781,64.49,88,4734,52.97,83
3252,LK Hameln-Pyrmont,Niedersachsen,148549,3067,91.55,82,3026,78.76,78
3254,LK Hildesheim,Niedersachsen,275817,6525,70.34,242,6438,67.44,242
3255,LK Holzminden,Niedersachsen,70458,1112,80.90,54,1099,78.06,54
3256,LK Nienburg (Weser),Niedersachsen,121390,2786,40.37,134,2779,42.84,131
3257,LK Schaumburg,Niedersachsen,157820,3088,88.71,48,3074,86.17,47
3351,LK Celle,Niedersachsen,179011,2910,105.58,51,2903,101.67,50
3352,LK Cuxhaven,Niedersachsen,198038,3248,68.67,136,3282,66.65,131
3353,LK Harburg,Niedersachsen,254431,4750,80.96,89,4719,83.32,89
3354,LK Lüchow-Dannenberg,Niedersachsen,48412,524,22.72,21,521,18.59,21
3355,LK Lüneburg,Niedersachsen,184139,2148,47.79,42,2127,38.56,42
3356,LK Osterholz,Niedersachsen,113928,1957,50.91,52,1956,48.28,52
3357,LK Rotenburg (Wümme),Niedersachsen,163782,2594,45.79,77,2598,40.30,76
3358,LK Heidekreis,Niedersachsen,140673,2321,28.43,93,2318,27.01,93
3359,LK Stade,Niedersachsen,204512,3246,66.99,105,3246,57.21,105
3360,LK Uelzen,Niedersachsen,92389,1557,50.87,97,1549,61.70,94
3361,LK Verden,Niedersachsen,137133,2752,35.00,43,2755,35.00,43
3401,SK Delmenhorst,Niedersachsen,77559,2396,88.96,57,2396,88.96,57
3402,SK Emden,Niedersachsen,49913,630,26.05,7,631,38.07,7
3403,SK Oldenburg,Niedersachsen,169077,2937,81.62,38,2736,63.88,38
3404,SK Osnabrück,Niedersachsen,165251,5071,153.10,85,4995,101.06,83
3405,SK Wilhelmshaven,Niedersachsen,76089,1296,84.11,40,1293,43.37,40
3451,LK Ammerland,Niedersachsen,124859,2113,84.09,47,2091,70.48,42
3452,LK Aurich,Niedersachsen,189694,2306,45.86,45,2297,45.86,45
3453,LK Cloppenburg,Niedersachsen,170682,7805,158.19,136,7785,154.09,136
3454,LK Emsland,Niedersachsen,326954,8350,96.65,144,8366,89.92,143
3455,LK Friesland,Niedersachsen,98704,1181,46.60,34,1179,45.59,33
3456,LK Grafschaft Bentheim,Niedersachsen,137162,3823,86.03,104,3823,86.03,104
3457,LK Leer,Niedersachsen,170756,2593,124.15,40,2586,121.81,40
3458,LK Oldenburg,Niedersachsen,130890,3590,55.01,101,3473,45.84,98
3459,LK Osnabrück,Niedersachsen,358080,11799,78.75,287,11606,60.88,258
3460,LK Vechta,Niedersachsen,142814,6093,127.44,84,6063,122.54,77
3461,LK Wesermarsch,Niedersachsen,88583,2295,138.85,90,2290,123.05,89
3462,LK Wittmund,Niedersachsen,56926,860,24.59,30,857,19.32,30
